time,episode,total_frames,epsilon,highest_reward,mean_rewards,mean_loss,estimating_reward,reward_exponent
0:00:00.617285,0,321.0,1.000,400.0,400.0,nan,True,1.0
0:00:05.536857,10,2894.0,1.000,550.0,290.0,nan,True,1.0
0:00:10.178978,20,5324.0,1.000,550.0,220.0,nan,True,1.0
0:00:15.061662,30,7866.0,1.000,550.0,215.0,nan,True,1.0
0:00:19.971644,40,10429.0,1.000,550.0,245.0,nan,True,1.0
0:00:25.716932,50,13452.0,1.000,800.0,375.0,nan,True,1.0
0:00:30.710979,60,16071.0,1.000,800.0,275.0,nan,True,1.0
0:00:35.902672,70,18757.0,1.000,800.0,245.0,nan,True,1.0
0:00:40.748284,80,21273.0,1.000,800.0,230.0,nan,True,1.0
0:00:45.886280,90,23965.0,1.000,800.0,280.0,nan,True,1.0
0:00:50.876253,100,26589.0,1.000,800.0,250.0,nan,True,1.0
0:00:55.660514,110,29099.0,1.000,800.0,275.0,nan,True,1.0
0:01:00.454343,120,31614.0,1.000,800.0,210.0,nan,True,1.0
0:01:05.142318,130,34068.0,1.000,800.0,260.0,nan,True,1.0
0:01:09.847835,140,36498.0,1.000,800.0,195.0,nan,True,1.0
0:01:15.096024,150,39222.0,1.000,800.0,295.0,nan,True,1.0
0:01:19.818493,160,41696.0,1.000,800.0,280.0,nan,True,1.0
0:01:24.811493,170,44310.0,1.000,800.0,230.0,nan,True,1.0
0:01:30.106376,180,47079.0,1.000,800.0,290.0,nan,True,1.0
0:01:34.762547,190,49488.0,1.000,800.0,240.0,nan,True,1.0
0:02:17.528415,200,52173.0,0.978,800.0,250.0,4.36377,True,1.0
0:03:06.984230,210,54823.0,0.952,800.0,255.0,4.07398,True,1.0
