time,episode,total_frames,epsilon,highest_reward,mean_rewards,mean_loss,estimating_reward,reward_exponent
0:00:00.259983,0,123.0,1.000,0,0.0,nan,True,2.0
0:00:03.563242,10,1702.0,1.000,2.0,0.7,nan,True,2.0
0:00:07.392987,20,3547.0,1.000,3.0,1.3,nan,True,2.0
0:00:11.692030,30,5612.0,1.000,5.0,1.9,nan,True,2.0
0:00:15.478966,40,7409.0,1.000,5.0,1.4,nan,True,2.0
0:00:19.079002,50,9131.0,1.000,5.0,1.3,nan,True,2.0
0:00:22.846510,60,10906.0,1.000,5.0,1.1,nan,True,2.0
0:00:26.377987,70,12582.0,1.000,5.0,0.9,nan,True,2.0
0:00:30.159763,80,14377.0,1.000,5.0,1.3,nan,True,2.0
0:00:33.517590,90,15987.0,1.000,5.0,0.8,nan,True,2.0
0:00:37.197356,100,17758.0,1.000,5.0,1.2,nan,True,2.0
0:00:40.677466,110,19431.0,1.000,5.0,1.1,nan,True,2.0
0:00:44.212321,120,21130.0,1.000,5.0,1.0,nan,True,2.0
0:00:47.808482,130,22862.0,1.000,5.0,1.1,nan,True,2.0
0:00:51.379172,140,24547.0,1.000,5.0,1.0,nan,True,2.0
0:00:55.199468,150,26370.0,1.000,5.0,1.4,nan,True,2.0
0:00:59.126030,160,28263.0,1.000,5.0,1.4,nan,True,2.0
0:01:02.850725,170,30057.0,1.000,5.0,1.2,nan,True,2.0
0:01:07.272662,180,32167.0,1.000,5.0,1.9,nan,True,2.0
0:01:10.786588,190,33833.0,1.000,5.0,1.0,nan,True,2.0
0:01:14.376568,200,35537.0,1.000,5.0,1.1,nan,True,2.0
0:01:18.163711,210,37360.0,1.000,5.0,1.4,nan,True,2.0
0:01:22.159844,220,39246.0,1.000,5.0,1.7,nan,True,2.0
0:01:25.726475,230,40949.0,1.000,5.0,1.0,nan,True,2.0
0:01:29.753365,240,42890.0,1.000,6.0,1.6,nan,True,2.0
0:01:33.314340,250,44603.0,1.000,6.0,1.1,nan,True,2.0
0:01:36.656230,260,46198.0,1.000,6.0,0.7,nan,True,2.0
0:01:40.390111,270,47993.0,1.000,6.0,1.3,nan,True,2.0
0:01:43.607172,280,49537.0,1.000,6.0,0.5,nan,True,2.0
0:02:07.390909,290,51146.0,0.989,6.0,0.7,0.06386,True,2.0
0:02:38.948831,300,52813.0,0.972,6.0,0.9,0.03453,True,2.0
0:03:12.778140,310,54589.0,0.954,6.0,1.2,0.02425,True,2.0
0:03:56.008194,320,56826.0,0.932,8.0,2.5,0.02639,True,2.0
0:04:30.037216,330,58574.0,0.914,8.0,1.1,0.03526,True,2.0
0:05:05.219784,340,60374.0,0.896,8.0,1.3,0.05113,True,2.0
0:05:46.436982,350,62447.0,0.876,8.0,2.0,0.04325,True,2.0
0:06:23.490418,360,64346.0,0.857,8.0,1.7,0.04434,True,2.0
0:07:01.254678,370,66228.0,0.838,8.0,1.6,0.04406,True,2.0
0:07:43.007274,380,68308.0,0.817,8.0,1.9,0.04341,True,2.0
